0,0, This POI update is available here: http://www.gps-data-team.com/poi/united_kingdom/petrol/
0,0, Is your business listed? Join the Team - Register to manage this POI file (add and edit POI locations).
0,0, Add to Cart - a once only secure payment for unlimited lifetime updates with full POI descriptions.
0,0, GPS Forum, Business GPS listing service, registration and installation support: http://www.gps-data-team.com/pda-gps-navigation/ 
-3.643345, 53.290486,Shell Abergele - Shell Expressway (801); A55 Interchange;Abergele Road; Abergele LL22 8HH >+01492510100
-3.57302, 53.285202,Shell Abergele - Threeways Garage; Faenol Avenue; Abergele LL22 7HT >+01745825847
-1.362047, 51.667173,Shell Abingdon - Frilford Service Station; Marcham Road; Abingdon OX13 6QL >+01865391440
0.112678, 51.649007,Shell Abridge - Shell Abridge Service Station **E5*; London Road; Abridge RM4 1XL >+01992815350
-2.328731, 53.725026,Shell Accrington. - Shell Rising Bridge (438); Blackburn Road; Accrington BB5 2SB >+01706233910
-0.4923, 51.376707,Shell Addlestone - Shell Addlestone; Chertsey Road; Addlestone KT15 2ED
-0.750957, 51.242821,Shell Aldershot - Shell Aldershot; 400 High Street; Aldershot GU12 4NE >+1252317676
-1.106541, 51.082698,Shell Alresford. - Shell Ropley (407); The Dene; Alresford SO24 0BG >+01962773030
-2.330637, 53.391802,Shell Altrincham - Shell Ringway (779); 155 Stockport Road; Altrincham WA15 7LT >+07967978730
-0.602535, 51.677884,Shell Amersham - Amersham Service Station; 40-42 Woodside Road; Amersham HP6 6AJ >+01494738000
-1.514121, 51.210905,Shell Andover. - Shell Portway (206); 280 Weyhill Road; Andover SP10 3LS >+01264361025
-1.242704, 53.079563,Shell Annesley - Derby Road Garage; Derby Road; Annesley NG17 9BX >+01623753257
-1.578207, 55.055351,Shell Annitsford. - Shell Annitsford (811); Burradon Road; Annitsford NE23 7BD >+01912500976
-0.649373, 50.85541,Shell Arundel. - Shell Fontwell (080); Arundel Road; Arundel BN18 0SB >+01243546000
-0.469649, 51.428281,Shell Ashford - Shell Ashford Manor; 102 Fordbridge Road; Ashford TW15 3RX >+01784421256
0.87312, 51.15116,Shell Ashford. - Shell Ashford (533); 35 North Street; Ashford TN24 8LQ >+01233616920
-1.556059, 55.170256,Shell Ashington. - Shell Ashington (790); Newbiggin Road; Ashington NE63 0TQ >+01670857241
-0.301045, 51.308938,Shell Ashtead. - Shell Ashstead (350); 7 The Street; Ashtead KT21 2AD >+01372229500
-2.112019, 53.477214,Shell Ashton-Under-Lyne. - Shell Guide Bridge (430); 188 Stockport Road; Ashton-Under-Lyne OL7 0NS >+01613430260
1.052782, 52.532991,Shell Attleborough. - Shell Attleborough (004); A11 Bypass; Attleborough NR17 1PU >+01953455550
-2.920654, 51.267873,Shell Axbridge - Shell Sedgemoor South; M5 South Motorway; Axbridge BS26 2UF >+01934757562
-0.734054, 51.801883,Shell Aylesbury - Shell Aston Clinton; 62-64 Aylesbury Road; Aylesbury HP22 5AH >+01296632668
0.506847, 51.319586,Shell Aylesford - Shell Bluebell Hill (497); A229 Northbound; Aylesford ME20 7EZ >+01634661000
-4.622289, 55.47739,Shell Ayr - Furniture World Service Station; Prestwick Road; Ayr KA8 8JT >+01292290671
-2.200937, 53.697605,Shell Bacup - Market Street Service Station; Market Street; Bacup OL13 0AZ >+01706879790
-4.110534, 55.85362,Shell Baillieston. - Shell Garrowhill (2033); 61 Edinburgh Road; Baillieston G69 6DD >+01417735110
-0.200955, 52.014,Shell Baldock Road - Shell Baldock (3003); A1 Jct 10; Baldock Road SG7 5TR >+01462733046
0.071455, 51.53748,Shell Barking - Shell Barking (009); London Road; Barking IG11 8BU >+02084779800
0.107334, 51.533025,Shell Barking - Shell Ripple Road (467); 514 Ripple Road; Barking IG11 9PG >+02085327890
-0.170492, 51.649477,Shell Barnet - Shell New Barnet; 65 East Barnet Road; Barnet EN4 8RN >+2084470028
